18	6	E	-2.2192854617465788E8	200
transitionprobs	13	16	6.33281578046592E-5
transitionprobs	13	17	0.0011976973154562206
transitionprobs	13	18	0.02428330075010062
transitionprobs	14	1	0.0044822785635704855
transitionprobs	14	2	0.05333798566139647
transitionprobs	14	3	0.002223037530925874
transitionprobs	14	4	0.00916931647685409
transitionprobs	14	5	1.5048097694247447E-5
transitionprobs	14	6	4.203645234275334E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	1.2749474564619984E-4
transitionprobs	14	11	1.126228726865315E-5
transitionprobs	14	12	0.002695279860348809
transitionprobs	14	13	0.0019303966518975724
transitionprobs	14	14	0.7331089633012171
transitionprobs	14	15	0.0987723670060831
transitionprobs	14	16	0.08009614598080157
transitionprobs	14	17	0.009730146547911132
transitionprobs	14	18	0.003879912764957138
transitionprobs	15	1	0.0
transitionprobs	15	2	0.001719736901020522
transitionprobs	15	3	3.728185492130354E-4
transitionprobs	15	4	0.006672773787211248
transitionprobs	15	5	2.2216287376973244E-4
transitionprobs	15	6	0.0026566083440450476
transitionprobs	15	7	2.647701908464784E-4
transitionprobs	15	8	6.777349319657156E-6
transitionprobs	15	9	0.002056479026189591
transitionprobs	15	10	0.0014692428114170617
transitionprobs	15	11	0.024165851481921054
transitionprobs	15	12	1.6214107831507811E-4
transitionprobs	15	13	0.0
transitionprobs	15	14	0.07272682365906863
transitionprobs	15	15	0.6568585363978029
transitionprobs	15	16	0.16891639258293772
transitionprobs	15	17	0.06172888496692228
transitionprobs	15	18	0.0
transitionprobs	16	1	0.0
transitionprobs	16	2	3.4357702387852244E-4
transitionprobs	16	3	0.0
transitionprobs	16	4	0.0
transitionprobs	16	5	2.0310732588941613E-4
transitionprobs	16	6	7.756371414255341E-4
transitionprobs	16	7	0.0
transitionprobs	16	8	0.0
transitionprobs	16	9	0.0
transitionprobs	16	10	2.6543492919281923E-5
transitionprobs	16	11	0.0
transitionprobs	16	12	6.427568323217444E-4
transitionprobs	16	13	2.965623860191894E-4
transitionprobs	16	14	0.00754868642335573
transitionprobs	16	15	0.021602115545478966
transitionprobs	16	16	0.8853557137000817
transitionprobs	16	17	0.08320530012862984
transitionprobs	16	18	0.0
transitionprobs	17	1	0.0
transitionprobs	17	2	7.20845847231779E-4
transitionprobs	17	3	2.8496493161847147E-5
transitionprobs	17	4	3.701885212682996E-4
transitionprobs	17	5	0.0
transitionprobs	17	6	0.0
transitionprobs	17	7	0.0
transitionprobs	17	8	0.0
transitionprobs	17	9	0.0
transitionprobs	17	10	2.9628680601806646E-4
transitionprobs	17	11	0.004744024981188083
transitionprobs	17	12	0.001280363293875798
transitionprobs	17	13	8.148090105296308E-4
transitionprobs	17	14	1.4001695738559338E-4
transitionprobs	17	15	0.0012114333681739044
transitionprobs	17	16	0.01287374737725761
transitionprobs	17	17	0.9703606592228261
transitionprobs	17	18	0.007159128121083477
transitionprobs	18	1	2.3038464573695627E-5
transitionprobs	18	2	2.849621016193425E-4
transitionprobs	18	3	2.3195211148593656E-5
transitionprobs	18	4	8.752816161744468E-5
transitionprobs	18	5	0.0
transitionprobs	18	6	2.5942858581680156E-4
transitionprobs	18	7	0.0
transitionprobs	18	8	0.0
transitionprobs	18	9	6.319910700884278E-5
transitionprobs	18	10	5.694458067374742E-4
transitionprobs	18	11	0.002689515925028707
transitionprobs	18	12	3.4901092674822137E-4
transitionprobs	18	13	0.002879291880645796
transitionprobs	18	14	9.691866530262715E-6
transitionprobs	18	15	0.0
transitionprobs	18	16	0.0
transitionprobs	18	17	0.0012156186926699586
transitionprobs	18	18	0.9915460732698547
emissionprobs	1	0	H3K27ac	0	0.04609434045515236
emissionprobs	1	0	H3K27ac	1	0.9539056595448477
emissionprobs	1	1	H3K27me3	0	0.9704016316741577
emissionprobs	1	1	H3K27me3	1	0.02959836832584235
emissionprobs	1	2	H3K36me3	0	0.9723570307433979
emissionprobs	1	2	H3K36me3	1	0.02764296925660217
emissionprobs	1	3	H3K4me1	0	0.9699468129103189
emissionprobs	1	3	H3K4me1	1	0.030053187089680973
emissionprobs	1	4	H3K4me3	0	0.013964405198897075
emissionprobs	1	4	H3K4me3	1	0.9860355948011029
emissionprobs	1	5	H3K9me3	0	0.9967806430129524
emissionprobs	1	5	H3K9me3	1	0.0032193569870475917
emissionprobs	2	0	H3K27ac	0	0.9449464487297824
emissionprobs	2	0	H3K27ac	1	0.05505355127021762
emissionprobs	2	1	H3K27me3	0	0.9921347566189302
emissionprobs	2	1	H3K27me3	1	0.007865243381069734
emissionprobs	2	2	H3K36me3	0	0.9902168449522356
emissionprobs	2	2	H3K36me3	1	0.009783155047764332
emissionprobs	2	3	H3K4me1	0	0.9219303804520426
emissionprobs	2	3	H3K4me1	1	0.0780696195479575
emissionprobs	2	4	H3K4me3	0	0.21990109397261318
emissionprobs	2	4	H3K4me3	1	0.7800989060273869
emissionprobs	2	5	H3K9me3	0	0.9962564097640446
emissionprobs	2	5	H3K9me3	1	0.003743590235955386
emissionprobs	3	0	H3K27ac	0	0.0045589226682677154
emissionprobs	3	0	H3K27ac	1	0.9954410773317323
emissionprobs	3	1	H3K27me3	0	0.9865733795552183
emissionprobs	3	1	H3K27me3	1	0.013426620444781663
emissionprobs	3	2	H3K36me3	0	0.9780789289258363
emissionprobs	3	2	H3K36me3	1	0.02192107107416376
emissionprobs	3	3	H3K4me1	0	0.03661083297994641
emissionprobs	3	3	H3K4me1	1	0.9633891670200536
emissionprobs	3	4	H3K4me3	0	0.019913317027768704
emissionprobs	3	4	H3K4me3	1	0.9800866829722312
emissionprobs	3	5	H3K9me3	0	0.9966281602495043
emissionprobs	3	5	H3K9me3	1	0.0033718397504957916
emissionprobs	4	0	H3K27ac	0	0.8927290266711144
emissionprobs	4	0	H3K27ac	1	0.10727097332888559
emissionprobs	4	1	H3K27me3	0	0.9850572960378025
emissionprobs	4	1	H3K27me3	1	0.014942703962197568
emissionprobs	4	2	H3K36me3	0	0.9592625981122286
emissionprobs	4	2	H3K36me3	1	0.040737401887771314
emissionprobs	4	3	H3K4me1	0	0.08481807874847402
emissionprobs	4	3	H3K4me1	1	0.915181921251526
emissionprobs	4	4	H3K4me3	0	0.07681234504534357
emissionprobs	4	4	H3K4me3	1	0.9231876549546565
emissionprobs	4	5	H3K9me3	0	0.9925211177907118
emissionprobs	4	5	H3K9me3	1	0.007478882209288121
emissionprobs	5	0	H3K27ac	0	0.9926441683908154
emissionprobs	5	0	H3K27ac	1	0.007355831609184556
emissionprobs	5	1	H3K27me3	0	0.9989629289500792
emissionprobs	5	1	H3K27me3	1	0.0010370710499208746
emissionprobs	5	2	H3K36me3	0	0.33518351060459933
emissionprobs	5	2	H3K36me3	1	0.6648164893954007
emissionprobs	5	3	H3K4me1	0	0.9975783388287688
emissionprobs	5	3	H3K4me1	1	0.002421661171231221
emissionprobs	5	4	H3K4me3	0	0.9992563484122489
emissionprobs	5	4	H3K4me3	1	7.436515877510849E-4
emissionprobs	5	5	H3K9me3	0	0.9923440505984689
emissionprobs	5	5	H3K9me3	1	0.007655949401531177
emissionprobs	6	0	H3K27ac	0	0.9976440269599438
emissionprobs	6	0	H3K27ac	1	0.00235597304005621
emissionprobs	6	1	H3K27me3	0	0.9995560315758671
emissionprobs	6	1	H3K27me3	1	4.4396842413284727E-4
emissionprobs	6	2	H3K36me3	0	0.9576097052773829
emissionprobs	6	2	H3K36me3	1	0.04239029472261704
emissionprobs	6	3	H3K4me1	0	0.9924850446417705
emissionprobs	6	3	H3K4me1	1	0.007514955358229565
emissionprobs	6	4	H3K4me3	0	0.9996137946387931
emissionprobs	6	4	H3K4me3	1	3.862053612070334E-4
emissionprobs	6	5	H3K9me3	0	0.998237175369728
emissionprobs	6	5	H3K9me3	1	0.0017628246302719734
emissionprobs	7	0	H3K27ac	0	0.814276899410928
emissionprobs	7	0	H3K27ac	1	0.185723100589072
emissionprobs	7	1	H3K27me3	0	0.9971704871311664
emissionprobs	7	1	H3K27me3	1	0.002829512868833555
emissionprobs	7	2	H3K36me3	0	0.3063945806252344
emissionprobs	7	2	H3K36me3	1	0.6936054193747656
emissionprobs	7	3	H3K4me1	0	0.552965651046532
emissionprobs	7	3	H3K4me1	1	0.4470343489534681
emissionprobs	7	4	H3K4me3	0	0.9778674253371542
emissionprobs	7	4	H3K4me3	1	0.022132574662845704
emissionprobs	7	5	H3K9me3	0	0.992305462618067
emissionprobs	7	5	H3K9me3	1	0.007694537381933005
emissionprobs	8	0	H3K27ac	0	0.15176347169816118
emissionprobs	8	0	H3K27ac	1	0.8482365283018388
emissionprobs	8	1	H3K27me3	0	0.9974990642920856
emissionprobs	8	1	H3K27me3	1	0.0025009357079145153
emissionprobs	8	2	H3K36me3	0	0.21193094828711626
emissionprobs	8	2	H3K36me3	1	0.7880690517128838
